cik,user,fx_user,ir_user,cp_user,year,dm
20,0,,,,1996,1996m12
20,0,,,,1997,1997m12
20,0,0,0,0,1998,1998m12
20,0,0,0,0,1999,1999m12
20,0,0,0,0,2000,2000m12
20,0,,,,2001,2001m12
20,0,0,0,0,2002,2002m12
20,0,0,1,0,2003,2003m12
20,0,0,1,0,2004,2004m12
20,0,0,1,0,2005,2005m12
20,1,0,1,0,2006,2006m12
20,1,0,1,0,2007,2007m12
20,1,0,1,0,2008,2008m12
20,1,0,1,0,2009,2009m12
1750,0,0,0,0,1996,1996m5
1750,0,0,0,0,1997,1997m5
1750,0,0,0,0,1998,1998m5
1750,0,0,0,0,1999,1999m5
1750,0,0,0,0,2000,2000m5
1750,0,0,0,0,2001,2001m5
1750,0,0,0,0,2002,2002m5
1750,0,0,0,0,2003,2003m5
1750,0,0,0,0,2004,2004m5
1750,0,0,0,0,2005,2005m5
1750,0,0,0,0,2006,2006m5
1750,0,0,0,0,2007,2007m5
1750,1,0,0,0,2008,2008m5
1750,0,0,0,0,2009,2009m5
1750,0,0,0,0,2010,2010m5
1750,0,0,0,0,2011,2011m5
1750,1,0,1,0,2012,2012m5
1750,1,0,1,0,2013,2013m5
1750,1,0,1,0,2014,2014m5
1750,1,0,1,0,2015,2015m5
1750,1,0,1,0,2016,2016m5
1750,1,0,1,0,2017,2017m5
1750,0,0,0,0,2018,2018m5
1750,0,0,0,0,2019,2019m5
1750,0,0,0,0,2020,2020m5
1750,0,0,0,0,2021,2021m5
1750,0,0,0,0,2022,2022m5
1750,0,0,0,0,2023,2023m5
1750,0,0,0,0,2024,2024m5
1761,0,0,0,0,1996,1996m2
1761,0,,,,1997,1997m2
1800,0,0,0,0,1996,1996m12
1800,1,1,0,0,1997,1997m12
1800,1,1,0,0,1998,1998m12
1800,0,0,0,0,1999,1999m12
1800,1,1,0,0,2000,2000m12
1800,1,1,0,0,2001,2001m12
1800,1,1,0,0,2002,2002m12
1800,1,1,0,0,2003,2003m12
1800,1,1,0,0,2004,2004m12
1800,1,1,0,0,2005,2005m12
1800,1,1,0,0,2006,2006m12
1800,1,1,0,0,2007,2007m12
1800,1,1,1,0,2008,2008m12
1800,1,1,1,0,2009,2009m12
1800,1,1,1,0,2010,2010m12
1800,1,1,1,0,2011,2011m12
1800,1,1,1,0,2012,2012m12
1800,1,1,1,0,2013,2013m12
1800,1,1,1,0,2014,2014m12
1800,1,1,1,0,2015,2015m12
1800,1,1,1,0,2016,2016m12
1800,1,1,1,0,2017,2017m12
1800,1,1,1,0,2018,2018m12
1800,1,1,1,0,2019,2019m12
1800,1,1,1,0,2020,2020m12
