cik,emp,year
20,461,1996
20,491,1997
20,496,1998
20,475,1999
20,522,2000
20,379,2001
20,361,2002
20,474,2003
20,467,2004
20,460,2005
20,625,2006
20,732,2007
20,727,2008
20,639,2009
1750,2140,1996
1750,2100,1997
1750,2700,1998
1750,2900,1999
1750,2900,2000
1750,2500,2001
1750,2200,2002
1750,2100,2003
1750,2300,2004
1750,2600,2005
1750,3300,2006
1750,3900,2007
1750,5400,2008
1750,5300,2009
1750,5800,2010
1750,6100,2011
1750,6700,2012
1750,6300,2013
1750,5800,2014
1750,4850,2015
1750,4700,2016
1750,4600,2017
1750,5000,2018
1750,5650,2019
1750,5400,2020
1750,4700,2021
1750,4500,2022
1750,5000,2023
1750,5700,2024
1750,5600,2025
1761,925,1996
1761,1027,1997
1800,52817,1996
1800,54487,1997
1800,56236,1998
1800,57100,1999
1800,60571,2000
1800,71426,2001
1800,71819,2002
1800,72181,2003
1800,60600,2004
1800,59735,2005
1800,66663,2006
1800,68000,2007
1800,69000,2008
1800,73000,2009
1800,90000,2010
1800,91000,2011
1800,91000,2012
1800,69000,2013
1800,77000,2014
1800,74000,2015
1800,75000,2016
1800,99000,2017
1800,103000,2018
1800,107000,2019
1800,109000,2020
1800,113000,2021
1800,115000,2022
1800,114000,2023
1800,114000,2024
1923,244,1996
1923,267,1997
1923,285,1998
1923,334,1999
1923,122,2000
1923,88,2001
1923,92,2002
1923,102,2003
1923,91,2004
1923,83,2005
1923,79,2006
1923,82,2007
1923,83,2008
1923,99,2009
1923,102,2010
1923,97,2011
1952,,1996
1952,,1997
1952,,1998
1952,,1999
1961,9,1996
1961,9,1997
1961,9,1998
1961,20,1999
1961,23,2000
1961,1,2001
1961,1,2002
1961,1,2003
1961,1,2004
1961,1,2005
1961,1,2006
1961,1,2007
1961,1,2008
1961,1,2009
1961,1,2010
1961,1,2011
1961,1,2012
1961,1,2013
1961,1,2014
1961,1,2015
1961,1,2016
1961,1,2017
1961,1,2018
1961,1,2019
1961,1,2020
1961,1,2021
1961,1,2022
1961,1,2023
1961,1,2024
1969,135,1996
1985,97,1996
1985,37,1997
1985,28,1998
1985,8,1999
1988,54,1996
1988,67,1997
1988,52,1998
2024,4352,1996
2024,4685,1997
2024,4672,1998
2024,5180,1999
2024,5513,2000
2024,5229,2001
2024,5268,2002
2034,75,1996
2034,75,1997
2034,75,1998
2034,105,1999
2034,125,2000
2034,240,2001
2034,240,2002
2034,240,2003
2034,256,2004
2034,242,2005
2034,216,2006
2034,224,2007
2034,227,2008
2034,221,2009
2034,216,2010
2034,238,2011
2034,233,2012
2034,234,2013
2034,270,2014
2034,270,2015
2034,270,2016
2034,286,2017
2034,315,2018
2062,30,1996
2062,30,1997
2062,40,1998
2062,35,1999
2062,30,2000
2062,30,2001
2062,25,2002
2062,25,2003
2062,25,2004
2062,25,2005
2062,25,2006
2062,25,2007
2062,25,2008
2062,25,2009
2062,25,2010
2062,25,2011
2062,25,2012
2062,25,2013
2062,25,2014
2062,25,2015
2062,25,2016
2062,25,2017
2062,25,2018
2062,25,2019
2062,25,2020
2062,25,2021
2062,25,2022
2062,25,2023
2062,25,2024
2070,743,1996
2070,660,1997
2070,630,1998
2070,570,1999
2070,596,2000
2098,384,1996
2098,433,1997
2098,312,1998
2098,172,1999
2098,134,2000
2098,121,2001
2098,100,2002
2098,90,2003
2098,103,2004
2098,116,2005
2098,120,2006
2098,126,2007
2098,137,2008
2098,134,2009
2098,132,2010
2098,157,2011
2098,171,2012
2098,180,2013
2098,303,2014
2098,342,2015
2098,400,2016
2098,421,2017
2098,435,2018
2098,441,2019
2098,552,2020
2098,654,2021
2098,619,2022
2098,645,2023
2098,633,2024
2135,5580,1996
2135,7030,1997
2135,12300,1998
2135,15700,1999
2135,18500,2000
