code,population_pct,gdp_pct,labor_rate
AW,0.0013310000,0.0037720000,0.2384506743
AF,0.5256290000,0.0000000000,0.1306450000
AO,0.4669420000,0.1128200000,0.1663269691
AL,0.0292980000,0.0162930000,0.4950841600
AD,0.0010100000,0.0035190000,0.2602737300
AE,0.1354070000,0.4783660000,0.2654826400
AR,0.5632040000,0.6109050000,0.4225391800
AM,0.0373880000,0.0170740000,0.2620894800
AS,0.0005760000,0.0000000000,0.2602272900
AG,0.0011560000,0.0018010000,0.2384506743
AU,0.3352000000,1.7498930000,0.4109869400
AT,0.1131180000,0.4414390000,0.6424562500
AZ,0.1257500000,0.0626900000,0.4293687367
BI,0.1731390000,0.0039500000,0.0561100000
BE,0.1461570000,0.5590380000,0.7478570000
BJ,0.1782530000,0.0200520000,0.1663269691
BF,0.2902380000,0.0188240000,0.0880700000
BD,2.1391530000,0.3526130000,0.0841633400
BG,0.0793900000,0.0682670000,0.1258333400
BH,0.0195800000,0.0429160000,0.2606024500
BS,0.0049460000,0.0142650000,0.2384506743
BA,0.0389990000,0.0222870000,0.4000000000
BY,0.1125590000,0.0649170000,0.4293687367
BZ,0.0051400000,0.0027460000,0.0863512500
BM,0.0007970000,0.0082610000,0.2325722200
BO,0.1529940000,0.0395660000,0.1683063600
BR,2.6128780000,2.1225210000,0.4071858600
BB,0.0034810000,0.0063800000,0.2384506743
BN,0.0057030000,0.0143160000,0.1184226214
BT,0.0097560000,0.0000000000,0.1479805700
BW,0.0310730000,0.0183040000,0.3044192800
CF,0.0657010000,0.0021750000,0.1663269691
CA,0.5088810000,1.9191060000,0.3024616600
CH,0.1109940000,0.8488570000,0.3147100000
CL,0.2436000000,0.3015690000,0.1544257900
CN,17.3655890000,19.3485070000,0.3530645000
CI,0.3935890000,0.0800640000,0.0963900000
CM,0.3589500000,0.0451310000,0.1085775000
CD,1.3468280000,0.0633840000,0.1663269691
CG,0.0780540000,0.0111320000,0.1663269691
CO,0.6518230000,0.3798830000,0.0552809700
KM,0.0106810000,0.0012710000,0.1663269691
CV,0.0064690000,0.0024440000,0.2090000000
CR,0.0632260000,0.0798130000,0.1195112500
CU,0.1353260000,0.0848180000,0.8025600000
CW,0.0019220000,0.0029450000,0.2349100000
KY,0.0009180000,0.0000000000,0.2384506743
CY,0.0167410000,0.0332170000,0.5473794100
CZ,0.1344040000,0.2333340000,0.2490489400
DE,1.0293400000,3.8481700000,0.4008282500
DJ,0.0144040000,0.0040250000,0.1663269691
DM,0.0008160000,0.0006360000,0.2384506743
DK,0.0736660000,0.3801430000,0.7643707500
DO,0.1408440000,0.1096490000,0.2384506743
DZ,0.5769850000,0.2334870000,0.1663269691
EC,0.2235190000,0.1138650000,0.2065565740
EG,1.4363320000,0.5046300000,0.1725100000
ER,0.0435760000,0.0000000000,0.1663269691
ES,0.6020610000,1.4950780000,0.4780921400
EE,0.0169140000,0.0288360000,0.1492561800
ET,1.6276340000,0.1220990000,0.0540938400
FI,0.0692650000,0.2661590000,0.7877605000
FJ,0.0114470000,0.0057690000,0.1623550000
FR,0.8448980000,2.8469610000,0.5398800000
FO,0.0006740000,0.0033910000,0.2602765000
FM,0.0013950000,0.0003470000,0.2208726875
GA,0.0312930000,0.0175870000,0.1663269691
GB,0.8532090000,3.4746530000,0.3397403654
GE,0.0455970000,0.0263590000,0.2031633400
GH,0.4243170000,0.0781020000,0.2730941300
GI,0.0004850000,0.0000000000,0.2602285600
GN,0.1818520000,0.0161510000,0.1663269691
GM,0.0340170000,0.0021920000,0.1663269691
GW,0.0271320000,0.0018290000,0.1663269691
GQ,0.0233250000,0.0099860000,0.1663269691
GR,0.1282430000,0.2340630000,0.3620986600
GD,0.0014450000,0.0012510000,0.2384506743
GL,0.0007010000,0.0000000000,0.2602255400
GT,0.2268580000,0.0878990000,0.0336340000
GU,0.0020680000,0.0000000000,0.2602064800
GY,0.0102430000,0.0287330000,0.1401000000
HK,0.0927340000,0.3520800000,0.3078719167
HN,0.1334270000,0.0291550000,0.0305937500
HR,0.0476510000,0.0722400000,0.3905660000
HT,0.1450970000,0.0142290000,0.0172300000
HU,0.1178520000,0.1653030000,0.2067531000
ID,3.4939830000,1.2958610000,0.1341244900
IM,0.0010370000,0.0000000000,0.2602208600
IN,17.8827550000,3.6396700000,0.1764870000
IE,0.0665030000,0.5334910000,0.3539781000
IR,1.1285710000,0.5591090000,0.2937739550
IQ,0.5674670000,0.2014260000,0.2937739550
IS,0.0047640000,0.0239890000,0.8898571400
IL,0.1229340000,0.4368040000,0.3059216600
IT,0.7265910000,2.1282270000,0.6659685000
JM,0.0349930000,0.0181140000,0.2384506743
JO,0.1423890000,0.0485660000,0.2937739550
JP,1.5279940000,4.8203550000,0.1824502500
KZ,0.2538030000,0.2558690000,0.5455240000
KE,0.6955350000,0.1098510000,0.0960750000
KG,0.0890090000,0.0105180000,0.4293687367
KH,0.2173980000,0.0402920000,0.1325225000
KI,0.0016580000,0.0002870000,0.2208726875
KN,0.0005770000,0.0010630000,0.2384506743
KR,0.6378310000,2.0065220000,0.3397403654
KW,0.0603590000,0.1223270000,0.2612183700
LA,0.0957630000,0.0221260000,0.1184226214
LB,0.0715580000,0.0000000000,0.2937739550
LR,0.0691780000,0.0039070000,0.2008200000
LY,0.0909710000,0.0594490000,0.1663269691
LC,0.0022150000,0.0022300000,0.0860200000
